"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"04.01.2000","Tue","","5.64688","5.81000","5.92250","6.04250","6.20875","6.60000"
"05.01.2000","Wed","","5.60500","5.79250","5.91750","6.03000","6.19375","6.57125"
"06.01.2000","Thu","","5.60547","5.79125","5.91375","6.03000","6.19125","6.58000"
"07.01.2000","Fri","","5.60500","5.79125","5.91250","6.03000","6.19125","6.58375"
"10.01.2000","Mon","","5.62938","5.78125","5.90500","6.02625","6.18125","6.57375"
"11.01.2000","Tue","","5.64438","5.78125","5.90625","6.03000","6.19125","6.59000"
"12.01.2000","Wed","","5.64375","5.78125","5.91250","6.03938","6.20938","6.62375"
"13.01.2000","Thu","","5.62313","5.78125","5.91250","6.04000","6.22000","6.64750"
"14.01.2000","Fri","","5.62250","5.79250","5.91375","6.04000","6.22125","6.64750"
"17.01.2000","Mon","","5.63000","5.80250","5.91750","6.03625","6.21500","6.64250"
"18.01.2000","Tue","","5.64625","5.80750","5.91750","6.03500","6.21500","6.64125"
"19.01.2000","Wed","","5.63063","5.80875","5.92000","6.03750","6.22000","6.65125"
"20.01.2000","Thu","","5.62313","5.81000","5.92000","6.04000","6.22000","6.65000"
"21.01.2000","Fri","","5.65875","5.81375","5.92000","6.04000","6.22000","6.65000"
"24.01.2000","Mon","","5.65953","5.81875","5.92000","6.04000","6.22000","6.64500"
"25.01.2000","Tue","","5.66078","5.82000","5.92000","6.04000","6.22000","6.63000"
"26.01.2000","Wed","","5.64828","5.82125","5.92000","6.04000","6.22000","6.63000"
"27.01.2000","Thu","","5.73984","5.83000","5.92125","6.04000","6.22000","6.63750"
"28.01.2000","Fri","","5.78016","5.85625","5.93500","6.04875","6.23250","6.65125"
"31.01.2000","Mon","","5.85797","5.88500","5.96500","6.07750","6.28875","6.75000"
"01.02.2000","Tue","","5.87438","5.90500","5.98750","6.09125","6.30750","6.77625"
"02.02.2000","Wed","","5.88125","5.92375","6.00500","6.10000","6.32000","6.79000"
"03.02.2000","Thu","","5.87188","5.89625","5.99250","6.09750","6.32875","6.81125"
"04.02.2000","Fri","","5.86000","5.89000","5.99250","6.09000","6.31375","6.78375"
"07.02.2000","Mon","","5.85797","5.89125","6.00000","6.10000","6.33000","6.82000"
"08.02.2000","Tue","","5.85797","5.89000","6.00000","6.10000","6.33000","6.82000"
"09.02.2000","Wed","","5.83656","5.89000","6.00000","6.10000","6.32125","6.80250"
"10.02.2000","Thu","","5.82656","5.88875","5.99750","6.09875","6.32250","6.80250"
"11.02.2000","Fri","","5.83172","5.88500","5.99500","6.09625","6.32375","6.80125"
"14.02.2000","Mon","","5.83031","5.88000","5.99000","6.09000","6.32125","6.79000"
"15.02.2000","Tue","","5.82281","5.88000","5.99000","6.09000","6.32000","6.78125"
"16.02.2000","Wed","","5.81000","5.88000","5.99000","6.09000","6.32000","6.79625"
"17.02.2000","Thu","","5.80391","5.88000","5.99000","6.09000","6.32125","6.80000"
"18.02.2000","Fri","","5.81906","5.88000","6.00000","6.11000","6.35500","6.86125"
"21.02.2000","Mon","","5.83656","5.88000","6.00000","6.11000","6.35375","6.85125"
"22.02.2000","Tue","","5.84172","5.88000","6.00000","6.11000","6.35250","6.85375"
"23.02.2000","Wed","","5.84172","5.87875","6.00000","6.11000","6.35000","6.83500"
"24.02.2000","Thu","","5.84125","5.87750","6.00000","6.11000","6.35000","6.84125"
"25.02.2000","Fri","","5.85047","5.87625","6.00000","6.10125","6.33250","6.79500"
"28.02.2000","Mon","","5.83156","5.91250","6.00000","6.10125","6.32250","6.75250"
"29.02.2000","Tue","","5.83375","5.91875","6.00500","6.10875","6.33125","6.76375"
"01.03.2000","Wed","","5.82656","5.92625","6.01000","6.11000","6.33125","6.76375"
"02.03.2000","Thu","","5.82781","5.93625","6.01875","6.11875","6.33625","6.76500"
"03.03.2000","Fri","","5.82531","5.94125","6.02000","6.12000","6.34000","6.76375"
"06.03.2000","Mon","","5.82531","5.95000","6.02000","6.12000","6.34000","6.76125"
"07.03.2000","Tue","","5.82406","5.96000","6.03000","6.12688","6.35000","6.77250"
"08.03.2000","Wed","","5.81906","5.97000","6.03875","6.13000","6.35000","6.75625"
"09.03.2000","Thu","","5.82281","5.98875","6.05000","6.14000","6.35000","6.77000"
"10.03.2000","Fri","","5.82531","5.99625","6.05250","6.14375","6.35625","6.77375"
"13.03.2000","Mon","","5.84047","6.00375","6.06000","6.15000","6.36250","6.78250"
"14.03.2000","Tue","","5.86750","6.01750","6.07500","6.16000","6.37125","6.79125"
"15.03.2000","Wed","","5.89125","6.03500","6.09000","6.17250","6.38000","6.79500"
"16.03.2000","Thu","","6.03000","6.07125","6.11250","6.19125","6.40000","6.81625"
"17.03.2000","Fri","","6.06000","6.09625","6.13375","6.21000","6.41125","6.82875"
"20.03.2000","Mon","","6.08375","6.11250","6.15000","6.22875","6.42000","6.83000"
"21.03.2000","Tue","","6.09250","6.12125","6.16000","6.24125","6.43000","6.84750"
"22.03.2000","Wed","","6.08750","6.12375","6.16625","6.24625","6.43750","6.84500"
"23.03.2000","Thu","","6.15328","6.12500","6.16625","6.24750","6.43500","6.84000"
"24.03.2000","Fri","","6.15875","6.12875","6.16875","6.25500","6.45500","6.86875"
"27.03.2000","Mon","","6.16500","6.13125","6.18000","6.28000","6.50250","6.94000"
"28.03.2000","Tue","","6.17375","6.13250","6.18000","6.28000","6.52000","6.96000"
"29.03.2000","Wed","","6.18000","6.13250","6.18125","6.28000","6.52000","6.96000"
"30.03.2000","Thu","","6.13875","6.13250","6.18875","6.29000","6.53000","6.97000"
"31.03.2000","Fri","","6.13313","6.13250","6.19000","6.29000","6.52625","6.94375"
"03.04.2000","Mon","","6.13250","6.13125","6.19000","6.29000","6.52375","6.94500"
"04.04.2000","Tue","","6.12688","6.13250","6.19000","6.29000","6.52500","6.94125"
"05.04.2000","Wed","","6.09672","6.12875","6.18000","6.27125","6.49875","6.86000"
"06.04.2000","Thu","","6.08922","6.13000","6.18000","6.27125","6.50250","6.86500"
"07.04.2000","Fri","","6.09297","6.13000","6.18125","6.28000","6.51125","6.88125"
"10.04.2000","Mon","","6.09297","6.13000","6.18125","6.28000","6.51000","6.87000"
"11.04.2000","Tue","","6.09797","6.13000","6.18250","6.28000","6.50000","6.83625"
"12.04.2000","Wed","","6.09547","6.13000","6.18250","6.28375","6.51125","6.86250"
"13.04.2000","Thu","","6.09922","6.13000","6.18875","6.28125","6.51125","6.85500"
"14.04.2000","Fri","","6.10047","6.13000","6.19000","6.28125","6.51125","6.85875"
"17.04.2000","Mon","","6.10250","6.13000","6.19000","6.28250","6.50000","6.81750"
"18.04.2000","Tue","","6.09547","6.13000","6.19500","6.29250","6.51250","6.83125"
"19.04.2000","Wed","","6.10938","6.14500","6.21000","6.31000","6.52000","6.84000"
"20.04.2000","Thu","","6.10500","6.15000","6.22000","6.31813","6.52438","6.84438"
"25.04.2000","Tue","","6.11375","6.16375","6.23875","6.33375","6.54250","6.86000"
"26.04.2000","Wed","","6.11875","6.18250","6.28000","6.37500","6.59500","6.95000"
"27.04.2000","Thu","","6.11125","6.19750","6.31000","6.39125","6.61250","6.96000"
"28.04.2000","Fri","","6.12375","6.29125","6.40250","6.50250","6.73125","7.10125"
"02.05.2000","Tue","","6.13375","6.35500","6.46500","6.56875","6.78375","7.16125"
"03.05.2000","Wed","","6.12438","6.37500","6.49500","6.60000","6.81375","7.20000"
"04.05.2000","Thu","","6.13000","6.42625","6.54250","6.65250","6.87000","7.25625"
"05.05.2000","Fri","","6.16250","6.44000","6.55625","6.67000","6.88125","7.27125"
"08.05.2000","Mon","","6.18094","6.46125","6.57250","6.70000","6.91375","7.33000"
"09.05.2000","Tue","","6.22109","6.47875","6.59000","6.71875","6.93125","7.35125"
"10.05.2000","Wed","","6.26375","6.49500","6.59375","6.72000","6.93000","7.34375"
"11.05.2000","Thu","","6.43219","6.52250","6.59625","6.72000","6.92125","7.32500"
"12.05.2000","Fri","","6.52875","6.54000","6.61750","6.73375","6.93500","7.34500"
"15.05.2000","Mon","","6.56000","6.57000","6.64750","6.76000","6.97375","7.40875"
"16.05.2000","Tue","","6.56281","6.58375","6.65375","6.76125","6.98375","7.41250"
"17.05.2000","Wed","","6.56281","6.60750","6.70125","6.80875","7.04125","7.46000"
"18.05.2000","Thu","","6.56250","6.60875","6.70625","6.81875","7.06125","7.48875"
"19.05.2000","Fri","","6.56156","6.61000","6.70500","6.82000","7.06000","7.49125"
"22.05.2000","Mon","","6.56156","6.61000","6.70375","6.82000","7.04250","7.45125"
"23.05.2000","Tue","","6.56656","6.61000","6.70375","6.82000","7.04250","7.44625"
"24.05.2000","Wed","","6.56656","6.61000","6.70375","6.82000","7.04125","7.43375"
"25.05.2000","Thu","","6.57156","6.61125","6.71250","6.82750","7.06250","7.47125"
"26.05.2000","Fri","","6.59797","6.61500","6.71625","6.82625","7.02500","7.44750"
"30.05.2000","Tue","","6.61875","6.64125","6.73125","6.84000","7.06250","7.45000"
"31.05.2000","Wed","","6.62000","6.65375","6.75500","6.86250","7.10500","7.50125"
"01.06.2000","Thu","","6.62000","6.66250","6.76375","6.86875","7.10875","7.48250"
"02.06.2000","Fri","","6.61250","6.65625","6.75250","6.85125","7.07000","7.42125"
"05.06.2000","Mon","","6.59875","6.62250","6.71250","6.79250","6.98000","7.27000"
"06.06.2000","Tue","","6.59375","6.62625","6.71125","6.79000","6.97000","7.25000"
"07.06.2000","Wed","","6.59750","6.63000","6.71625","6.79750","6.98000","7.25875"
"08.06.2000","Thu","","6.60750","6.63500","6.72125","6.80000","6.98250","7.26250"
"09.06.2000","Fri","","6.61500","6.64125","6.73000","6.81000","6.99000","7.28875"
"12.06.2000","Mon","","6.61500","6.64875","6.73125","6.81000","6.99250","7.29000"
"13.06.2000","Tue","","6.61688","6.65125","6.73125","6.81000","6.99000","7.27375"
"14.06.2000","Wed","","6.60750","6.65000","6.71500","6.79250","6.96000","7.23000"
"15.06.2000","Thu","","6.60250","6.64875","6.70250","6.77750","6.94125","7.18750"
"16.06.2000","Fri","","6.60375","6.65125","6.70375","6.77500","6.94125","7.18750"
"19.06.2000","Mon","","6.59250","6.64750","6.69375","6.76188","6.90875","7.13875"
"20.06.2000","Tue","","6.58500","6.65000","6.69375","6.76125","6.91125","7.15125"
"21.06.2000","Wed","","6.58125","6.65000","6.69250","6.76500","6.92000","7.18500"
"22.06.2000","Thu","","6.82750","6.65125","6.69875","6.77250","6.93250","7.22000"
"23.06.2000","Fri","","6.82375","6.65125","6.70000","6.77000","6.93000","7.22000"
"26.06.2000","Mon","","6.85500","6.66500","6.70250","6.77438","6.93125","7.23063"
"27.06.2000","Tue","","6.87000","6.67375","6.70625","6.77500","6.93250","7.22875"
"28.06.2000","Wed","","6.92750","6.68438","6.71125","6.78000","6.94000","7.22500"
"29.06.2000","Thu","","6.66000","6.64500","6.69375","6.77875","7.01250","7.21125"
"30.06.2000","Fri","","6.63500","6.64188","6.68625","6.76938","7.00000","7.18000"
"03.07.2000","Mon","","6.62750","6.64000","6.68250","6.77000","7.00000","7.18875"
"04.07.2000","Tue","","6.62500","6.63000","6.67000","6.75000","6.96125","7.12750"
"05.07.2000","Wed","","6.62000","6.63000","6.67000","6.74500","6.95375","7.11250"
"06.07.2000","Thu","","6.61375","6.63000","6.67000","6.74000","6.93375","7.08000"
"07.07.2000","Fri","","6.61500","6.63125","6.67000","6.74375","6.93625","7.10000"
"10.07.2000","Mon","","6.61625","6.63000","6.66000","6.73000","6.89625","7.04000"
"11.07.2000","Tue","","6.61875","6.63000","6.66000","6.73125","6.91000","7.06000"
"12.07.2000","Wed","","6.61750","6.62875","6.66125","6.73125","6.91000","7.07000"
"13.07.2000","Thu","","6.60750","6.62625","6.66250","6.73375","6.91375","7.08125"
"14.07.2000","Fri","","6.60500","6.62750","6.66375","6.73000","6.90500","7.06000"
"17.07.2000","Mon","","6.59750","6.63000","6.66563","6.74000","6.92750","7.12000"
"18.07.2000","Tue","","6.59375","6.63000","6.66750","6.74000","6.94000","7.14000"
"19.07.2000","Wed","","6.59125","6.63000","6.67125","6.74000","6.94000","7.14875"
"20.07.2000","Thu","","6.58875","6.63000","6.67250","6.74000","6.94125","7.15000"
"21.07.2000","Fri","","6.60125","6.62000","6.65625","6.71750","6.89375","7.06000"
"24.07.2000","Mon","","6.60375","6.62000","6.65500","6.71375","6.89125","7.05000"
"25.07.2000","Tue","","6.60625","6.62000","6.65500","6.71500","6.89125","7.06000"
